#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
DSC03644.JPG	35.9918393589	139.1095658047	447.3562927246	
DSC03645.JPG	35.9916858120	139.1091063186	447.8082580566	
DSC03646.JPG	35.9914782898	139.1086449059	448.7094116211	
DSC03647.JPG	35.9913436221	139.1081949907	449.0305175781	
DSC03648.JPG	35.9911537089	139.1077702690	448.1297912598	
DSC03649.JPG	35.9909488735	139.1073134872	446.7212524414	
DSC03650.JPG	35.9907706332	139.1068624025	448.0714721680	
DSC03651.JPG	35.9906216626	139.1063925133	447.7385864258	
DSC03652.JPG	35.9904104501	139.1059453556	448.5700073242	
DSC03653.JPG	35.9902353441	139.1054879372	450.6728515625	
DSC03654.JPG	35.9900758002	139.1049638361	450.4962158203	
DSC03655.JPG	35.9898761251	139.1045176384	451.4136352539	
DSC03656.JPG	35.9896489696	139.1040854142	452.2328491211	
DSC03657.JPG	35.9894764285	139.1035765822	451.9185180664	
DSC03658.JPG	35.9892819664	139.1030836451	451.2618103027	
DSC03659.JPG	35.9890912248	139.1026362703	451.4000549316	
DSC03660.JPG	35.9889129353	139.1021630726	452.4721679688	
DSC03661.JPG	35.9887397632	139.1017002489	451.1181030273	
DSC03662.JPG	35.9885403963	139.1012562124	451.4407043457	
DSC03663.JPG	35.9883745320	139.1007789471	450.2789306641	
DSC03664.JPG	35.9881696619	139.1003331416	450.6460876465	
DSC03665.JPG	35.9880034500	139.0998607449	450.5235290527	
DSC03666.JPG	35.9878206334	139.0994151613	451.3104553223	
DSC03667.JPG	35.9876648837	139.0989893491	451.2160034180	
DSC03668.JPG	35.9874710530	139.0985575074	451.7519836426	
DSC03669.JPG	35.9873182975	139.0981189750	450.1329650879	
DSC03670.JPG	35.9867603922	139.0987864535	450.6008300781	
DSC03671.JPG	35.9869392630	139.0992296117	449.9941406250	
DSC03672.JPG	35.9871260763	139.0996708019	449.6215820312	
DSC03673.JPG	35.9872887573	139.1001032677	449.8106384277	
DSC03674.JPG	35.9874520758	139.1005420920	449.9041748047	
DSC03675.JPG	35.9876346650	139.1009524556	450.0748901367	
DSC03676.JPG	35.9877868168	139.1013697806	448.5298767090	
DSC03677.JPG	35.9879776810	139.1017639686	447.9612121582	
DSC03678.JPG	35.9881226820	139.1022167391	449.1568298340	
DSC03679.JPG	35.9882917786	139.1026606738	449.6127319336	
DSC03680.JPG	35.9884812818	139.1030547312	449.2658081055	
DSC03681.JPG	35.9886367751	139.1034954349	450.1010742188	
DSC03682.JPG	35.9888428773	139.1039729261	453.2048034668	
DSC03683.JPG	35.9890179897	139.1044373091	451.3985290527	
DSC03684.JPG	35.9892023918	139.1048925039	451.3661499023	
DSC03685.JPG	35.9893718429	139.1053505005	450.4617919922	
DSC03686.JPG	35.9895550197	139.1057833074	449.3996276855	
DSC03687.JPG	35.9897185747	139.1062404419	448.4774780273	
DSC03688.JPG	35.9899038460	139.1066737402	448.7751159668	
DSC03689.JPG	35.9900715747	139.1071144158	448.9442138672	
DSC03690.JPG	35.9902500358	139.1075666278	449.6950683594	
DSC03691.JPG	35.9904284623	139.1080074081	450.5408325195	
DSC03692.JPG	35.9905941506	139.1084442280	451.8350830078	
DSC03693.JPG	35.9907651261	139.1088723266	452.0021362305	
DSC03694.JPG	35.9909776678	139.1092980565	452.2851867676	
DSC03695.JPG	35.9911354000	139.1097840162	451.9274597168	
DSC03696.JPG	35.9913249563	139.1102673783	452.3393859863	
DSC03697.JPG	35.9915439555	139.1107621832	453.8316955566	
DSC03698.JPG	35.9917081912	139.1111952653	450.6629028320	
